[ 1108.545847]  logcat
W/PackageManager(  973): Unknown permission android.permission.ADD_SYSTEM_SERVICE in package com.coship.netfirmware
W/PackageManager(  973): Unknown permission android.permission.READ_SETTINGS in package com.android.settings
W/PackageManager(  973): Unknown permission com.android.launcher.permission.READ_SETTINGS in package com.android.settings
W/PackageManager(  973): Unknown permission com.android.launcher.permission.WRITE_SETTINGS in package com.android.settings
W/PackageManager(  973): Unknown permission android.permission.WRITE_OWNER_DATA in package com.coship.Multimedia
W/PackageManager(  973): Unknown permission android.permission.READ_OWNER_DATA in package com.coship.Multimedia
W/PackageManager(  973): Unknown permission android.permission.WRITE_OWNER_DATA in package com.coship.NetworkNavigation
W/PackageManager(  973): Unknown permission android.permission.READ_OWNER_DATA in package com.coship.NetworkNavigation
I/SystemServer(  973): Account Manager
I/SystemServer(  973): Content Manager
I/SystemServer(  973): System Content Providers
I/SystemServer(  973): Lights Service
I/SystemServer(  973): Battery Service
I/SystemServer(  973): Pppoe Service
I/SystemServer(  973): Vibrator Service
I/SystemServer(  973): Alarm Manager
I/SystemServer(  973): Init Watchdog
I/SystemServer(  973): Window Manager
I/InputManager(  973): Initializing input manager
W/StatusBarManager(  973): warning: no STATUS_BAR_SERVICE
I/InputManager(  973): Starting input manager
I/WindowManager(  973): Enabled StrictMode logging for WMThread's Looper
I/SystemServer(  973): Bluetooth Service
I/WindowManager(  973): Enabled StrictMode for PolicyThread's Looper
I/SystemServer(  973): Input Method Service
W/InputManagerService(  973): Couldn't create dir.: /data/system/inputmethod
I/SystemServer(  973): Accessibility Manager
I/ActivityManager(  973): Config changed: {1.0 0mcc0mnc zh_CN layoutdir=0 sw720dp w1280dp h720dp xlrg long land ?uimode ?night -touch -keyb/v/h -nav/h s.2}
I/SystemServer(  973): TV
I/SystemServer(  973): Device Policy
I/SystemServer(  973): Status Bar
I/SystemServer(  973): Clipboard Service
I/SystemServer(  973): NetworkManagement Service
I/SystemServer(  973): Text Service Manager Service
W/TextServicesManagerService(  973): no available spell checker services found
I/SystemServer(  973): NetworkStats Service
I/SystemServer(  973): NetworkPolicy Service
I/SystemServer(  973): Wi-Fi P2pService
D/WifiP2pService(  973): P2pDisabledState
E/WifiP2pService(  973): Failed to reload sta firmware java.lang.NullPointerException
D/WifiP2pService(  973): mThisDevice.deviceAddress=a6:a8:20:13:03:6e
I/SystemServer(  973): Wi-Fi Service
D/WifiP2pService(  973): P2pDisabledState{ what=69633 when=0 }
D/WifiP2pService(  973): DefaultState{ what=69633 when=0 }
D/WifiP2pService(  973): P2pDisabledState{ what=69632 when=0 obj=com.android.internal.util.AsyncChannel@4155e690 }
D/WifiP2pService(  973): DefaultState{ what=69632 when=-1ms obj=com.android.internal.util.AsyncChannel@4155e690 }
D/WifiP2pService(  973): Full connection with WifiStateMachine established
D/WifiP2pService(  973): P2pDisabledState{ what=69633 when=-1ms }
D/WifiP2pService(  973): DefaultState{ what=69633 when=-1ms }
D/WifiP2pService(  973): P2pDisabledState{ what=69632 when=0 obj=com.android.internal.util.AsyncChannel@41461e48 }
D/WifiP2pService(  973): DefaultState{ what=69632 when=0 obj=com.android.internal.util.AsyncChannel@41461e48 }
D/WifiP2pService(  973): Full connection with WifiStateMachine established
I/SystemServer(  973): Connectivity Service
D/ConnectivityService(  973): ConnectivityService starting up
E/ConnectivityService(  973): Error in radioAttributes - ignoring attempt to redefine type 1
D/ConnectivityService(  973): Starting Pppoe StateTracker
D/ConnectivityService(  973): Starting Ethernet Service.
V/EthernetStateTracker(  973): Ethernet State Tracker v1.0.6
V/EthernetStateTracker(  973): successed to init device!
I/EthernetService(  973): Ethernet dev enabled 2
V/EthernetService(  973): device 0 name eth0
V/EthernetStateTracker(  973): start to monitor the ethernet devices . . .
I/EthernetManager(  973): Init Ethernet Manager, service: com.android.server.EthernetService@415443c8
I/EthernetStateTracker(  973): reset device eth0
V/EthernetMonitor(  973): go poll events
I/EthernetStateTracker(  973): trigger dhcp for device eth0
I/EthernetStateTracker(  973): reset device eth0
D/EthernetStateTracker(  973): DhcpHandler: DHCP request started
I/EthernetStateTracker(  973): trigger dhcp for device eth0
E/MobileDataStateTracker(  973): default: Ignoring feature request because could not acquire PhoneService
E/MobileDataStateTracker(  973): default: Could not enable APN type "default"
D/NetworkManagementService(  973): Registering observer
D/NetworkManagementService(  973): Registering observer
I/WifiService(  973): WifiService starting up with Wi-Fi enabled
D/WifiP2pService(  973): P2pDisabledState{ what=131203 when=0 }
I/WifiService(  973): WifiService starting up with Wi-Fi AP disabled
I/SystemServer(  973): Throttle Service
I/SystemServer(  973): Mount Service
D/MountService(  973): got storage path: /mnt/sdcard description: USB ´æ´¢Æ÷ primary: true removable: false emulated: false mtpReserve: 0 allowMassStorage: false maxFileSize: 0
D/MountService(  973): mExternalStoragePath:/mnt/sdcard
I/SystemServer(  973): Notification Manager
D/VoldCmdListener(  738): volume list
I/SystemServer(  973): Device Storage Monitor
I/SystemServer(  973): Location Manager
I/SystemServer(  973): Country Detector
I/SystemServer(  973): Search Service
I/SystemServer(  973): DropBox Service
I/SystemServer(  973): Wallpaper Service
I/SystemServer(  973): Audio Service
I/SystemServer(  973): Camera Observer
I/SystemServer(  973): Microphone Observer
I/SystemServer(  973): Wired Accessory Observer
I/SystemServer(  973): USB Service
I/SystemServer(  973): UI Mode Manager Service
I/SystemServer(  973): Backup Service
V/BackupManagerService(  973): Initializing package tracking
V/BackupManagerService(  973): No ancestral data
V/BackupManagerService(  973): addPackageParticipantsLocked: all
I/BackupManagerService(  973): New app android never backed up; scheduling
I/BackupManagerService(  973): New app com.android.browser never backed up; scheduling
I/BackupManagerService(  973): New app com.android.providers.settings never backed up; scheduling
I/BackupManagerService(  973): New app com.android.providers.userdictionary never backed up; scheduling
I/BackupManagerService(  973): New app com.android.sharedstoragebackup never backed up; scheduling
V/BackupManagerService(  973): Registering transport android/com.android.internal.backup.LocalTransport = com.android.internal.backup.LocalTransport@41627f78
V/BackupManagerService(  973): Starting with transport android/com.android.internal.backup.LocalTransport
V/BackupManagerService(  973): Google transport not present
I/BackupManagerService(  973): Backup enabled => false
I/BackupManagerService(  973): Opting out of backup
I/SystemServer(  973): AppWidget Service
I/SystemServer(  973): Recognition Service
I/SystemServer(  973): DiskStats Service
I/SystemServer(  973): SamplingProfiler Service
I/SystemServer(  973): NetworkTimeUpdateService
D/PowerManagerService(  973): system ready!
I/ActivityManager(  973): System now ready
I/SystemServer(  973): Making services ready
I/ActivityManager(  973): Start proc com.mstar.dbprovider for content provider com.mstar.dbprovider/.MstTvUserSettingProvider: pid=1110 uid=10019 gids={}
D/SystemServer(  973): Starting service: Intent { cmp=com.android.systemui/.SystemUIService }
I/ActivityManager(  973): Start proc com.android.systemui for service com.android.systemui/.SystemUIService: pid=1127 uid=1000 gids={3003, 1015, 3002, 3001, 3004}
