--------- beginning of /dev/log/system
03-24 22:30:59.442 W/PackageManager(  380): Unknown permission org.adw.launcher.permission.READ_SETTINGS in package com.wandoujia.phoenix2
03-24 22:30:59.442 W/PackageManager(  380): Unknown permission org.adw.launcher.permission.WRITE_SETTINGS in package com.wandoujia.phoenix2
03-24 22:30:59.442 W/PackageManager(  380): Unknown permission com.qihoo360.launcher.permission.READ_SETTINGS in package com.wandoujia.phoenix2
03-24 22:30:59.442 W/PackageManager(  380): Unknown permission com.qihoo360.launcher.permission.WRITE_SETTINGS in package com.wandoujia.phoenix2
03-24 22:30:59.442 W/PackageManager(  380): Unknown permission com.lge.launcher.permission.READ_SETTINGS in package com.wandoujia.phoenix2
03-24 22:30:59.442 W/PackageManager(  380): Unknown permission com.lge.launcher.permission.WRITE_SETTINGS in package com.wandoujia.phoenix2
03-24 22:30:59.442 W/PackageManager(  380): Unknown permission net.qihoo.launcher.permission.READ_SETTINGS in package com.wandoujia.phoenix2
03-24 22:30:59.442 W/PackageManager(  380): Unknown permission net.qihoo.launcher.permission.WRITE_SETTINGS in package com.wandoujia.phoenix2
03-24 22:30:59.442 W/PackageManager(  380): Unknown permission org.adwfreak.launcher.permission.READ_SETTINGS in package com.wandoujia.phoenix2
03-24 22:30:59.442 W/PackageManager(  380): Unknown permission org.adwfreak.launcher.permission.WRITE_SETTINGS in package com.wandoujia.phoenix2
03-24 22:30:59.442 W/PackageManager(  380): Unknown permission com.huawei.launcher3.permission.READ_SETTINGS in package com.wandoujia.phoenix2
03-24 22:30:59.442 W/PackageManager(  380): Unknown permission com.huawei.launcher3.permission.WRITE_SETTINGS in package com.wandoujia.phoenix2
03-24 22:30:59.442 W/PackageManager(  380): Unknown permission com.fede.launcher.permission.READ_SETTINGS in package com.wandoujia.phoenix2
03-24 22:30:59.442 W/PackageManager(  380): Unknown permission com.fede.launcher.permission.WRITE_SETTINGS in package com.wandoujia.phoenix2
03-24 22:30:59.452 W/PackageManager(  380): Unknown permission com.sec.android.app.twlauncher.settings.READ_SETTINGS in package com.wandoujia.phoenix2
03-24 22:30:59.452 W/PackageManager(  380): Unknown permission com.sec.android.app.twlauncher.settings.WRITE_SETTINGS in package com.wandoujia.phoenix2
03-24 22:30:59.452 W/PackageManager(  380): Not granting permission android.permission.INSTALL_PACKAGES to package com.wandoujia.phoenix2 (protectionLevel=18 flags=0x8be44)
03-24 22:30:59.452 W/PackageManager(  380): Not granting permission android.permission.ACCESS_DRM to package com.wandoujia.phoenix2 (protectionLevel=2 flags=0x8be44)
03-24 22:30:59.452 W/PackageManager(  380): Unknown permission com.google.android.googleapps.permission.ACCESS_GOOGLE_PASSWORD in package com.android.development
03-24 22:30:59.452 W/PackageManager(  380): Unknown permission android.permission.READ_OWNER_DATA in package com.nd.assistance
03-24 22:30:59.452 W/PackageManager(  380): Unknown permission android.permission.WRITE_OWNER_DATA in package com.nd.assistance
03-24 22:30:59.452 W/PackageManager(  380): Not granting permission android.permission.DEVICE_POWER to package com.nd.assistance (protectionLevel=2 flags=0x8c44)
03-24 22:30:59.452 W/PackageManager(  380): Not granting permission android.permission.ACCESS_ALL_DOWNLOADS to package com.android.email (protectionLevel=2 flags=0x8be45)
03-24 22:30:59.452 W/PackageManager(  380): Unknown permission android.permission.ADD_SYSTEM_SERVICE in package com.hiapk.marketpho
03-24 22:30:59.452 W/PackageManager(  380): Not granting permission android.permission.DEVICE_POWER to package com.android.deskclock (protectionLevel=2 flags=0x8be45)
03-24 22:30:59.452 W/PackageManager(  380): Unknown permission com.google.android.googleapps.permission.ACCESS_GOOGLE_PASSWORD in package com.google.android.gsf
03-24 22:30:59.452 W/PackageManager(  380): Unknown permission com.google.android.googleapps.permission.GOOGLE_MAIL_SWITCH in package com.google.android.gsf
03-24 22:30:59.542 I/SystemServer(  380): Account Manager
03-24 22:30:59.552 I/SystemServer(  380): Content Manager
03-24 22:30:59.552 I/SystemServer(  380): System Content Providers
03-24 22:30:59.622 I/SystemServer(  380): Lights Service
03-24 22:30:59.622 I/SystemServer(  380): Battery Service
03-24 22:30:59.622 D/BatteryService(  380): mAcOnlinetruemUsbOnline:falsemBatteryStatus 2
03-24 22:30:59.622 D/BatteryService(  380): mBatteryLevel0isPowered():trueActivityManagerNative.isSystemReady():false
03-24 22:30:59.622 D/BatteryService(  380): mAcOnlinetruemUsbOnline:falsemBatteryStatus 2
03-24 22:30:59.622 I/SystemServer(  380): Vibrator Service
03-24 22:30:59.652 I/SystemServer(  380): Alarm Manager
03-24 22:30:59.662 I/SystemServer(  380): Init Watchdog
03-24 22:30:59.662 I/SystemServer(  380): Window Manager
03-24 22:30:59.682 I/InputManager(  380): Initializing input manager
03-24 22:30:59.682 W/StatusBarManager(  380): warning: no STATUS_BAR_SERVICE
03-24 22:30:59.732 I/InputManager(  380): Starting input manager
03-24 22:30:59.732 I/SystemServer(  380): Bluetooth Service
03-24 22:30:59.772 I/SystemServer(  380): BT FM Power Management Service
03-24 22:30:59.772 I/SystemServer(  380): Input Method Service
03-24 22:30:59.772 W/InputMethodManagerService(  380): Couldn't create dir.: /data/system/inputmethod
03-24 22:30:59.812 I/SystemServer(  380): Accessibility Manager
03-24 22:30:59.812 I/ActivityManager(  380): Config changed: {1.0 0mcc0mnc zh_CN sw360dp w360dp h620dp nrml long port ?uimode ?night -touch -keyb/v/h -nav/h s.2}
03-24 22:30:59.812 I/SystemServer(  380): Mount Service
03-24 22:30:59.812 D/MountService(  380): got storage path: /storage/sdcard0 description: SD 卡 primary: true removable: true emulated: false mtpReserve: 0 allowMassStorage: false maxFileSize: 4294967296
03-24 22:30:59.812 D/MountService(  380): got storage path: /mnt/usbdisk description: USB 存储器 primary: false removable: true emulated: false mtpReserve: 0 allowMassStorage: false maxFileSize: 0
03-24 22:30:59.812 I/SystemServer(  380): LockSettingsService
03-24 22:30:59.812 I/SystemServer(  380): Device Policy
03-24 22:30:59.822 I/SystemServer(  380): Status Bar
03-24 22:30:59.822 I/SystemServer(  380): Clipboard Service
03-24 22:30:59.822 D/VoldCmdListener(  112): volume list
03-24 22:30:59.822 I/SystemServer(  380): NetworkManagement Service
03-24 22:30:59.822 D/MountService(  380): volume state changed for /storage/sdcard0 (null -> unmounted)
